usertoken,date,inst_credibleCertainChoice,inst_credibleCertainUncertainty,inst_nCredibleNCertain,inst_nCredibleNCertainUncertainty,preq_gender,preq_race,preq_education,preq_age,postq_economic,postq_social,postq_emotions_Upset,postq_emotions_Inspired,postq_emotions_Determined,postq_emotions_Active,postq_emotions_Hostile,postq_emotions_Attentive,postq_emotions_Afraid,postq_emotions_Nervous,postq_emotions_Ashamed,postq_emotions_Alert,account_index,condition_account,condition_accAlias,condition_block,condition_emotionSort,condition_showImage,count_tweets,sourceComment,credibility_choice,credibility_uncertainty,credibility_time,politicalOrientation_choice,politicalOrientation_uncertainty,politicalOrientation_time
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,0,MotherJones,E,TRUE,angry,FALSE,6,I have  been compare  all the  tweets  and then took  decision ,0.797160395,0.392993807,1.59923E+12,0.742891619,0.746029279,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,1,amlookout,B,TRUE,angry,TRUE,7,All tweets  are  almost  same information shows. ,0.622230225,0.670965073,1.59923E+12,0.172571338,1.62948659,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,2,nypost,F,TRUE,angry,FALSE,7,After  comparing  all tweets  information i took  this  decision ,0.538359595,0.546357281,1.59923E+12,0.119852657,1.437782294,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,3,CNNPolitics,G,TRUE,angry,TRUE,6,Tweets are almost same .,0.512000254,0.392993807,1.59923E+12,0.162986123,1.255663213,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,4,opednews,C,TRUE,angry,TRUE,8,After  researching  all other tweets.,0.46407418,0.306726874,1.59923E+12,0.148608301,0.642209392,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,5,InvestWatchBlog,D,TRUE,angry,FALSE,9,Some time  the  information is  not  matched  with other  tweets. ,0.356240514,0.254008229,1.59923E+12,-0.450467661,0.766817184,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,6,veteranstoday,A,TRUE,angry,FALSE,6,Most  of  the  tweets  was almost  same  information. ,0.603059795,0.627831606,1.59923E+12,0.330727382,0.958521481,1.59923E+12
2UD6shBv,9/4/20,0.631595069,0.465173216,0.696882538,0.339841693,Male,White/Caucasian/European,Undergraduate,30,Slightly liberal,Slightly liberal,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Extremely,A little,Moderately,Moderately,Quite a bit,7,Jerusalem_Post,H,TRUE,angry,TRUE,8,Comparing  all other tweets  i took  this  decision.  ,0.773197358,0.231632703,1.59923E+12,0.431372138,0.554324946,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,0,MotherJones,E,TRUE,happy,FALSE,48,I am describe the tweets are political orientation and then race oriented.,0.919371884,0.622230225,1.59923E+12,0.637454256,0.680550251,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,1,opednews,C,TRUE,happy,TRUE,35, I am make decision about the tweets are political oriented.,0.91697558,0.789971484,1.59923E+12,-0.632586742,0.364238163,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,2,amlookout,B,TRUE,happy,FALSE,5,So same as the political topic tweets,0.936146009,0.734856498,1.59923E+12,-0.805120609,0.515984087,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,3,Jerusalem_Post,H,TRUE,happy,FALSE,7,CNN take a poilitical reviews.,0.845086469,0.57430415,1.59923E+12,-0.642171957,0.450505096,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,4,InvestWatchBlog,D,TRUE,happy,TRUE,5,Anti more article relatted,0.931353402,0.062303896,1.59923E+12,0.762062049,0.162948652,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,5,veteranstoday,A,TRUE,happy,FALSE,9,The most of tweets are biased.,0.615041313,0.618246355,1.59923E+12,-0.675720209,0.584698176,1.59923E+12
8iC1dPQb,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,51,Slightly Conservative,Moderate,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,6,nypost,F,TRUE,happy,TRUE,8,The guy collected the 100 of mails,0.804349306,0.345067733,1.59923E+12,-0.460052876,0.594283318,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,0,CNNPolitics,G,FALSE,Mixed,FALSE,5,I trust the source because it is somewhat relatable,0.514396558,0.560735066,1.59923E+12,0.594320789,0.412164237,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,1,veteranstoday,A,FALSE,Mixed,FALSE,7,Political trust in this source is true,0.504811343,0.292349052,1.59923E+12,0.805195515,0.325897303,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,2,amlookout,B,FALSE,Mixed,FALSE,5,It influenced more and it has trustworthiness,0.847482772,0.023963037,1.59923E+12,0.541602108,0.616628879,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,3,opednews,C,FALSE,Mixed,TRUE,6,The source is real and it has trustworthiness.,0.763612143,0.321104696,1.59923E+12,0.958558952,1.905840271,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,4,MotherJones,E,FALSE,Mixed,TRUE,5,The source has trustworthiness,0.840293861,0.230045155,1.59923E+12,0.992107204,1.680587723,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,5,InvestWatchBlog,D,FALSE,Mixed,TRUE,6,I think the provided information was somewhat fake,0.01596537,0,1.59923E+12,0.210912197,0,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,6,nypost,F,FALSE,Mixed,FALSE,7,It has trustworthiness.,0.519189165,0,1.59923E+12,0.838743767,0,1.59923E+12
QtK5eFuS,9/4/20,,,,,Female,White/Caucasian/European,Masters,41,Very Consertavite,Very Consertavite,Very slightly/Not at all,Extremely,Very slightly/Not at all,Extremely,Quite a bit,Extremely,Extremely,Very slightly/Not at all,Moderately,Extremely,7,Jerusalem_Post,H,FALSE,Mixed,TRUE,8,The source was somewhat trusted one,0.488037217,0,1.59923E+12,-0.019132958,0,1.59923E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,0,Jerusalem_Post,H,FALSE,Mixed,FALSE,6,Based on the statements credibility.,0.756423232,0.3882012,1.59926E+12,0.742891619,1.412201708,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,1,nypost,F,FALSE,Mixed,TRUE,6,facial expressions makes me to select this decision.,0.857067987,0.215667333,1.59926E+12,0.517639071,0.565527674,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,2,veteranstoday,A,FALSE,Mixed,TRUE,5,Facial expressions.,0.679741513,0.177326474,1.59926E+12,0.416994316,0.440919881,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,3,CNNPolitics,G,FALSE,Mixed,TRUE,5,By the Facial expressions.,0.708497158,0.397786414,1.59926E+12,0.517639071,0.086266933,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,4,MotherJones,E,FALSE,Mixed,FALSE,5,None,0.562322632,0.254008192,1.59926E+12,0.162986123,0.335482518,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,5,amlookout,B,FALSE,Mixed,TRUE,6,post accuracy.,0.758819536,0.143778222,1.59926E+12,0.532016893,0.402579022,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,6,opednews,C,FALSE,Mixed,FALSE,6,Based on the post accuracy.,0.679741513,0.186911689,1.59926E+12,0.273216093,0.2588008,1.59926E+12
ZLgSfOj9,9/4/20,,,,,Male,White/Caucasian/European,Undergraduate,34,Slightly Conservative,Slightly Conservative,Very slightly/Not at all,Quite a bit,Moderately,Extremely,Very slightly/Not at all,Quite a bit,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,7,InvestWatchBlog,D,FALSE,Mixed,FALSE,6,Based on the post accuracy.,0.660571084,0.158156044,1.59926E+12,0.292386523,0.230045155,1.59926E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,0,veteranstoday,A,FALSE,Mixed,TRUE,7,8 tweets i have see and take the decision,0.881031024,0.696515639,1.59923E+12,0.718928582,1.249253056,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,1,nypost,F,FALSE,Mixed,FALSE,8,I have seen the text on the tweets,0.845086469,0.686930424,1.59923E+12,-0.694890639,0.584698103,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,2,CNNPolitics,G,FALSE,Mixed,TRUE,8,I have seen the tweets was images and text is good,0.885823632,0.737252802,1.59923E+12,0.819573337,0.325897303,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,3,MotherJones,E,FALSE,Mixed,FALSE,6,I have seen the tweets was tweeter remaining,0.346655299,0.282763873,1.59923E+12,-0.699683246,0.527186814,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,4,Jerusalem_Post,H,FALSE,Mixed,TRUE,6,I have seen the some of political images and the texts,0.813934521,0.162948652,1.59923E+12,-0.019132958,0.249215585,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,5,opednews,C,FALSE,Mixed,FALSE,7,I have seen the some of the political texts,0.825916039,0.115022578,1.59923E+12,-0.07185164,0.23963037,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,6,amlookout,B,FALSE,Mixed,TRUE,7,I have seen the some of the suggestion and political text and images,0.720478676,0.244422978,1.59923E+12,0.306764345,0.268386015,1.59923E+12
YvHue455,9/4/20,0.900905879,0.004080467,,,Female,White/Caucasian/European,Undergraduate,35,Very Consertavite,Slightly Conservative,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Extremely,7,InvestWatchBlog,D,FALSE,Mixed,FALSE,10,I have seen the some images and texts,0.789971484,0.330689911,1.59923E+12,-0.014340351,0.076681718,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,0,InvestWatchBlog,D,FALSE,Mixed,TRUE,5,tweets are very conservative and biased toward liberals ,0.075856901,0.110229273,1.59923E+12,0.785982632,0.220458546,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,1,MotherJones,E,FALSE,Mixed,TRUE,6,tweets mock Republicans and favor liberals,0.490414805,0.234836277,1.59923E+12,-0.254006667,0.42174671,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,2,CNNPolitics,G,FALSE,Mixed,FALSE,5,almost all tweets are pure facts,0.801932352,0.086266387,1.59923E+12,-8.19E-08,0.335480396,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,3,Jerusalem_Post,H,FALSE,Mixed,TRUE,5,all tweets are facts,0.499999959,0.009585154,1.59923E+12,-8.19E-08,0.067096079,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,4,nypost,F,FALSE,Mixed,FALSE,5,tweets are news that favor the left,0.677325348,0.062303502,1.59923E+12,-0.076681315,0.134192158,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,5,amlookout,B,FALSE,Mixed,FALSE,5,tweets are rumors that favor the Republicans,0.473640785,0.023962885,1.59923E+12,0.498428008,0.086266387,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,6,veteranstoday,A,FALSE,Mixed,TRUE,5,all tweets are just news,0.78755462,0.009585154,1.59923E+12,0.009585072,0.057510925,1.59923E+12
c4zuT2w9,9/4/20,0.992910134,0.983773709,0.003892118,0.259712019,Female,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,Moderate,Moderate,Very slightly/Not at all,A little,A little,Quite a bit,Very slightly/Not at all,Moderately,Very slightly/Not at all,Very slightly/Not at all,,Very slightly/Not at all,7,opednews,C,FALSE,Mixed,FALSE,5,tweets are news favor the left,0.624607,0.033548113,1.59923E+12,-0.100644201,0.047925771,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,0,amlookout,B,FALSE,Mixed,FALSE,5,Most of the twits had pessimistic view.,0.447300054,0.249215585,1.59923E+12,-0.086229462,0.143778222,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,1,nypost,F,FALSE,Mixed,TRUE,5,The twits and the images were somehow rhyming with the content in the twits.,0.569511543,0.153363437,1.59923E+12,0.268423486,0.460090311,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,2,InvestWatchBlog,D,FALSE,Mixed,TRUE,5,The content in the twits and the images too was  somehow realistic.,0.57430415,0.081474326,1.59923E+12,0.282801308,0.172533867,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,3,veteranstoday,A,FALSE,Mixed,FALSE,6,The message in most of the twits is realistic.,0.763612143,0.182119081,1.59923E+12,0.570357752,0.508016385,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,4,MotherJones,E,FALSE,Mixed,TRUE,5,Most of the twits are realistic.,0.61264501,0.244422978,1.59923E+12,0.153400908,0.642209392,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,5,CNNPolitics,G,FALSE,Mixed,FALSE,5,most of the twits seemed to be a true view.,0.576700454,0.11022997,1.59923E+12,0.119852657,0.277971229,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,6,Jerusalem_Post,H,FALSE,Mixed,FALSE,5,most of the twits were not realistic,0.361033121,0.124607829,1.59923E+12,-0.306689402,0.546357317,1.59923E+12
r8MSsSKX,9/4/20,0.992716382,0.849900044,0.003203166,0.158260904,Male,African American/Black,Masters,30,Slightly liberal,Slightly liberal,,Extremely,Extremely,Extremely,Very slightly/Not at all,,Very slightly/Not at all,Very slightly/Not at all,Very slightly/Not at all,Quite a bit,7,opednews,C,FALSE,Mixed,TRUE,6,most of the twits seemed true,0.588681973,0.143778222,1.59923E+12,0.124645264,0.364238163,1.59923E+12
ZrlGVGE9,9/4/20,0.419410796,0.359081079,0.552025967,0.432529481,Female,White/Caucasian/European,Undergraduate,36,Slightly Conservative,Moderate,Very slightly/Not at all,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,0,opednews,C,TRUE,happy,TRUE,7,Have more trustworthiness,0.540755899,0.292349052,1.59923E+12,0.354690419,0.862669333,1.59923E+12
ZrlGVGE9,9/4/20,0.419410796,0.359081079,0.552025967,0.432529481,Female,White/Caucasian/European,Undergraduate,36,Slightly Conservative,Moderate,Very slightly/Not at all,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,1,nypost,F,TRUE,happy,FALSE,9,Somewhat acceptable,0.416148106,0.287556444,1.59923E+12,0.119852657,0.709305896,1.59923E+12
ZrlGVGE9,9/4/20,0.419410796,0.359081079,0.552025967,0.432529481,Female,White/Caucasian/European,Undergraduate,36,Slightly Conservative,Moderate,Very slightly/Not at all,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,2,Jerusalem_Post,H,TRUE,happy,TRUE,6,Not have enough content,0.444903751,0.402579058,1.59923E+12,-0.009547743,0.75723197,1.59923E+12
ZrlGVGE9,9/4/20,0.419410796,0.359081079,0.552025967,0.432529481,Female,White/Caucasian/European,Undergraduate,36,Slightly Conservative,Moderate,Very slightly/Not at all,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,3,CNNPolitics,G,TRUE,happy,TRUE,6,Understand easily,0.533566988,0.306726874,1.59923E+12,-0.062266425,0.862669333,1.59923E+12
ZrlGVGE9,9/4/20,0.419410796,0.359081079,0.552025967,0.432529481,Female,White/Caucasian/European,Undergraduate,36,Slightly Conservative,Moderate,Very slightly/Not at all,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,4,amlookout,B,TRUE,happy,FALSE,9,Easy to understand,0.746838017,0.364238163,1.59923E+12,0.551187323,0.913770538,1.59923E+12
